No.,District,PODs,Site_Name,N,S,W,E,Rainfall,latitude,longitude,lat_scaled,lon_scaled,Rainfall_Scaled,Cluster
60,Minna,KaffinKoro,Adunu,9.677,9.497,7.056,7.236,43082.0,9.587,7.056,1.2064269795164257,1.4976101544064235,2.8884136206482993,1
61,Minna,Paiko,Anninigi,9.461,9.281,6.43,6.61,34616.0,9.371,6.43,0.4646576947136106,0.5922032793110676,-0.3833422511019867,6
62,Minna,Gwam,Baidna,9.492,9.312,6.796,6.976,40412.0,9.402000000000001,6.796,0.571115323551054,1.1215625705010046,1.8565699899403778,1
63,Minna,Garatu,Bisanti,9.412,9.232,6.131,6.311,33384.0,9.322,6.131,0.29638595880926344,0.1597485578198363,-0.8594588627245183,6
64,Minna,Kodo,BOBI COOPERATIVE,9.793,9.613,6.13,6.31,35263.0,9.703,6.13,1.6047845583920117,0.15830222095866112,-0.13330373834242673,3
65,Minna,KaffinKoro,Chimbi,9.564,9.384,6.903,7.083,41731.0,9.474,6.903,0.8183717518186571,1.2763206146466954,2.3663084726758643,1
66,Minna,Gwam,Essan,9.599,9.419,6.698,6.878,39450.0,9.509,6.698,0.9385658488931882,0.9798215581058852,1.4847971162546023,1
67,Minna,Paiko,Gana,9.359,9.179,6.502,6.682,35083.0,9.269,6.502,0.11437775466783466,0.6963395333156454,-0.20286623030026413,6
68,Minna,Garatu,Garatu,9.615,9.435,6.344,6.524,34145.0,9.525,6.344,0.993511721841545,0.4678183092500452,-0.565364105058328,6
69,Minna,Garatu,Gidan Kwanu,9.615,9.435,6.344,6.524,34145.0,9.525,6.344,0.993511721841545,0.4678183092500452,-0.565364105058328,6
70,Minna,KaffinKoro,Ishau,9.703,9.523,7.226,7.406,44713.0,9.613,7.226,1.2957140230575048,1.7434874208061204,3.5187270894440372,1
71,Minna,Garatu,Jangaru,9.719,9.539,6.389,6.569,35077.0,9.629,6.389,1.3506598960058618,0.5329034680029061,-0.20518498003219204,3
72,Minna,Paiko,Jedna,9.433,9.253,6.478,6.658,35151.0,9.343,6.478,0.36850241705398457,0.6616274486474527,-0.17658706667174778,6
